letter_num,description,mss_ocr,edition,salutation,valid_mss,text,pase_refs,pase_keys,scripture_ref,start_page,end_page
Ep. 018,"Alevinus Aethelredum regem Northanhumbrorum eiusque principes denuo ad vir-
tutem vocat. 793 post Iun. 8.

","Codd. T' fol. 51—54 (T fol. 47'—49), K1 fol. 7—11', K2 p, 19-32, S1 fol. 167'--172 (S1 fol. 88-93), A2 fol. 113—117', A1 p. 28--32 n. 24%, Fragmentum exstat in codice Q.","Ed . Q29, C2, F' 10, Haddan and Stubbs Councils ITT, 488—492, J 23. — Migne col. 157.",EXCELLENTISSIMO> FILIO¢ AEDELREDO4 REGI ET AMICIS DULCISSIMIS OSBALDO PATRICIO! AETERNAE BEATITUDINIS SALUTEM.,"T, K1, K2, S1, S1*, A2, A1*",True,"['Alcuin 1', 'Æthelred 7', 'Osbald 1', 'Osberht 3', 'Anonymi 1867', 'Anonymi 1862', 'Cuthbert 1']","['1142', '2127', '9863', '9864', '9865', '9853', '930']",NEEDS MANUAL VALIDATION,49,56
Ep. 019,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, L2, S1, A1, A2, A1*, Q, D",False,"['Alcuin 1', 'Anonymi 1868', 'Biscop 2', 'Ceolfrith 1', 'Anonymi 1862', 'Anonymi 1869', 'Gregory 1', 'Bede 1', 'Anonymi 1870', 'Cuthbert 1']","['1142', '9866', '926', '1045', '9853', '9869', '280', '424', '9871', '930']",NEEDS MANUAL VALIDATION,56,56
Ep. 020,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A2, A1, S1",False,"['Alcuin 1', 'Hygebald 3', 'Anonymi 1871', 'Anonymi 1862', 'Anonymi 1872', 'Charlemagne 1', 'Cuthbert 1', 'Anonymi 1866', 'Anonymi 1873']","['1142', '3540', '9873', '9853', '9874', '247', '930', '9860', '9876']",NEEDS MANUAL VALIDATION,56,58
Ep. 021,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*",False,"['Alcuin 1', 'Hygebald 3', 'Anonymi 1871', 'Cuthbert 1']","['1142', '3540', '9873', '930']",NEEDS MANUAL VALIDATION,58,59
Ep. 022,"Alevinus Cudrado presbytero Lindisfarnensi e manibus Northmannorum erepto
gratulatur. Monet, ut vitam solitariam agat et pro se precetur. 793 post Iun. 8.

",Cod. H fol. 11—11's.,"Ed . F 163, J 26. — Migne col. 144.",VENERANDO PATRI CUDRADO PRESBITERO ALCHVINUS DIACONUS> SALUTEM.,H,True,"['Cuthrad 1', 'Anonymi 1862', 'Alcuin 1', 'Buitta 1', 'Cuthbert 1', 'Anonymi 1871']","['9877', '9853', '1142', '9878', '930', '9873']",NEEDS MANUAL VALIDATION,59,60
Ep. 023,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,S,False,"['Felix 4', 'Alcuin 1', 'Gregory 1']","['1172', '1142', '280']",NEEDS MANUAL VALIDATION,60,65
Ep. 024,"Alevinus Hygbaldo episcopo Lindisfarnensi scribit-de mutua amicitia. Candidum
praeterito anno retentum remittit; quem, si discendi causa iterum venerit, a sese amplius
doctum iri promittit. 7942

","Codd. A1 fol. 59'—60, A1 p. 65—66 n, 44%.",Ed J3.,DOMINO IN CHRISTO DILECTO HYGBALDO EPISCOPO ALCHVINUS HUMILIS LEVITA SALUTEM.,"A1, A1*",True,"['Hygebald 3', 'Alcuin 1', 'Candidus 2', 'Anonymi 1871']","['3540', '1142', '12979', '9873']",NEEDS MANUAL VALIDATION,65,66
Ep. 025,"Alevinus Riculfo, cum Carolo rege in Saxonia moranti, bene precatur. Refert de
Angilberto, de Candido, de Martino, de Mopso. 794?

","Codd. T fol. 95'—96, K 1 fol. 64'—65', K 2 p. 185—187, A1 p. 129—180 n. 88%,","Ed . C 47, Q.93, F'39, J 4. — Migne col. 210.",FLACCUS» ALBINUS FLAVIO DAMOETAE' FILIO CARISSIMO SALUTEM.,"T*, K1, K2, A1*",True,"['Alcuin 1', 'Candidus 2']","['1142', '12979']",NEEDS MANUAL VALIDATION,66,67
Ep. 026,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T*, K1, K2, Q, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,67,68
Ep. 027,"Alevinus ab Adriano papa petit, ut sibi peccata ignoscat. Angilbertum, Caroli regis
Francorum legatum, laudat, 794 Tul. Aug.

","Codd, T fol. 73-74, K 1 fol. 47—48', K2 p. 140—148, A1 p. 112—113 n. 71%.","Ed . C28, Q63, F 15, J 32. — Migne col, 170.","BEATISSIMO ET OMNI HONORE DIGNISSIMO ET PONTIFICI MAGNO ADRIANO> PAPAE!, HUMILLI- MUS OMNIUM SANCTAE ECCLESIAE FILIORUM ALBINUS AETERNAE BEATITUDINIS¢ SALUTEM.","T*, K1, K2, A1*",True,"['Hadrian 3', 'Charlemagne 1', 'Alcuin 1']","['7258', '247', '1142']",NEEDS MANUAL VALIDATION,68,69
Ep. 028,"Alevinus Paulino patriarchae Aquileiensi scribit de suo erga eum amore. Rogat
ut pro se precetur reliquiasque sanctorum sibi mittat. Monet, ut muneris suscepti officia
exsequatur. ce. 789—795.

","Codd. A1 fol. 11, A 1 p. 16 n.9, Ki fol. 77'—78', K 2 p. 222—2248,","Ed , Q 113, se F 36, J 11. — Migne col. 202.",PAULINO SANCTISSIMO PATRIARCHAE’ HUMILIS LEVITA ALCVINUS> SALUTEM.,"A1, A1*, K1, K2",True,"['Paulinus 2', 'Alcuin 1']","['3528', '1142']",NEEDS MANUAL VALIDATION,69,71
Ep. 029,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*",False,"['Pippin 3', 'Alcuin 1']","['3496', '1142']",NEEDS MANUAL VALIDATION,71,71
Ep. 030,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, S1, S1*, A1, A1*, A2",False,"['Æthelred 7', 'Alcuin 1', 'Anonymi 1874', 'Anonymi 1875']","['2127', '1142', '9880', '9881']",NEEDS MANUAL VALIDATION,71,72
Ep. 031,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1, S1*, A1, A1*, D",False,"['Æthelberht 10', 'Anonymi 1876', 'Alcuin 1', 'Anonymi 1877']","['7243', '9883', '1142', '9884']",NEEDS MANUAL VALIDATION,72,73
Ep. 032,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,MANUAL CHECK NEEDED,"T, T*",True,"['Gisla 1', 'Richtrud 1', 'Alcuin 1']","['1208', '1209', '1142']",NEEDS MANUAL VALIDATION,73,74
Ep. 033,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1, S1*, A1, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,74,75
Ep. 034,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1a, S1b, S1*, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,75,77
Ep. 035,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1, S1*, B, A1, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,77,77
Ep. 036,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1, D, A1*, Q",False,"['Æthelburg 8', 'Offa 7', 'Alcuin 1']","['4320', '305', '1142']",NEEDS MANUAL VALIDATION,77,79
Ep. 037,"Alevinus Hechstanum presbyterum ad virtutem cohortatur ct precibus amicorum cupit
se commendari. ce. 793—795.

","Codd. T fol. 64—64' (I fol. 59), K1 fol. 55'—56', K 2 p. 161—164, S1 fol. 173—174' (S1 fol. 983—96), Q fol. 121'—122', A 1 p. 119—120 ur. 76, D fol. 238'—2395,","Ed , C 36, Q 45, F 138, 7283. — Migne col. 452.",FILIO MEO CARISSIMO> ALTAPETRA! ALBINUS4 LEVITA SALUTEM.,"T, T*, K1, K2, S1, S1*, Q, A1*, D",True,"['Heahstan 1', 'Alcuin 1', 'Scæst 1', 'Beagnoth 2', 'Anonymi 1878']","['9886', '1142', '9887', '9888', '9889']",NEEDS MANUAL VALIDATION,79,80
Ep. 038,"Alevinus Monnam presbyterum ct fratrem eius ad saeculi contemptum et ad humili-
tatem exhortatur. 5 ¢. 793-795,
","Coda. T fol. 65—65' (T' fol. 60), K 1 fol. 56'—58, K 2 p. 164-167, S1 fol. 174—176 (S1 fol. 96'—99'), D fol. 239—239', Q fol. 122'—123, A 1 p. 120—121 nr. 779,","Ed . C 37, Q 46, F 139, J 282, Form. Salzburg. 40, Formulae ed. Zeumer p. 448. — Migne col. 454.",DILECTISSIMIS IN CHRISTO AMICIS FRATRI ET FILIO ANTHROPO ET STRATOCLEI¢ HUMILIS LEVITA ALCHVINE SALUTEM.,"T, T*, K1, K2, S1, S1*, D, Q, A1*",True,"['Manna 1', 'Hereberht 4', 'Alcuin 1']","['9890', '9891', '1142']",NEEDS MANUAL VALIDATION,80,82
Ep. 039,"Alevinus amico fideli ardorem amoris sui significat, hortatur, ut omnibus exemplum
sit bonae vitae, rogat, ut evangelia et librum pastoralem sancti Gregorii diligenter legat.
¢. 7938—795.
","Codd. T fol. 65'—66' (T fol. 60'—61), K 1 fol. 48'—49', K2 p. 143—146, S1 fol. 176—177 (8 1  fol. 99'—102', B fol. 44'—45), Q fol. 123—123', (A 1 fol. 11') A 1 p, 22—23 n. 19%,","Ed . C29, Q 47, F 142, J 293, Form. Salzburg. 33, Formulae ed. Zeumer p. 447. — Migne col. 457.",DULCISSIMAE DILECTIONIS FRATRI ET AMICO IN CHRISTI CARITATE SALUTEM.,"T, T*, K1, K2, S1, S1*, B, Q, A1, A1*",True,"['Alcuin 1', 'Gregory 1']","['1142', '280']",NEEDS MANUAL VALIDATION,82,83
Ep. 040,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,83,84
Ep. 041,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T*, H",False,"['Charlemagne 1', 'Alcuin 1', 'Candidus 2', 'Anonymous 735']","['247', '1142', '12979', '9892']",NEEDS MANUAL VALIDATION,84,85
Ep. 042,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"H, T*, K1, K2, A1*",False,"['Anonymi 1879', 'Alcuin 1', 'Seneca 1']","['9893', '1142', '9894']",NEEDS MANUAL VALIDATION,85,87
Ep. 043,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, S1, S1*, A1, A2, D",False,"['Alcuin 1', 'Anonymi 1879', 'Eanbald 2', 'Charlemagne 1']","['1142', '9893', '3513', '247']",NEEDS MANUAL VALIDATION,87,89
Ep. 044,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1, A1*",False,"['Eanbald 1', 'Alcuin 1', 'Eanbald 2']","['3288', '1142', '3513']",NEEDS MANUAL VALIDATION,89,90
Ep. 045,"Alevinus cuidam vel episcopo vel abbati aegrotanti medicamenta mittit. De Basilio
in montanis medico mortuo. 1 795.
","Codd. A2 fol. 116'—167, A1 p. 165—166 n, 117.",Ed J 38.,DILECTO PATRI PERPETUAM SALUTEM.,"A2, A1*",True,"['Alcuin 1', 'Anonymous 736', 'Basilius 1', 'Eanbald 2']","['1142', '9898', '9897', '3513']",NEEDS MANUAL VALIDATION,90,91
Ep. 046,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A2, A1*",False,,,NEEDS MANUAL VALIDATION,91,91
Ep. 047,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,T*,False,"['Anonymi 1880', 'Alcuin 1', 'Anonymous 737']","['9900', '1142', '9901']",NEEDS MANUAL VALIDATION,91,92
Ep. 048,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,T*,False,"['Alcuin 1', 'Anonymi 1879']","['1142', '9893']",NEEDS MANUAL VALIDATION,92,93
Ep. 049,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*, T, T*, K1, K2, S1, S1*, B",False,"['Alcuin 1', 'Beornrad 1']","['1142', '3527']",NEEDS MANUAL VALIDATION,93,93
Ep. 050,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*",False,"['Liutgard 1', 'Alcuin 1']","['9933', '1142']",NEEDS MANUAL VALIDATION,93,94
Ep. 051,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, Q, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,94,96
Ep. 052,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2, A1*",False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,96,97
Ep. 053,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, T*, K1, K2a, K2b, A1*",False,"['Eada 2', 'Alcuin 1']","['9899', '1142']",NEEDS MANUAL VALIDATION,97,97
Ep. 054,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,97,98
Ep. 055,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,98,99
Ep. 056,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,"['Benedict 4', 'Alcuin 1']","['1146', '1142']",NEEDS MANUAL VALIDATION,99,100
Ep. 057,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,"['Benedict 4', 'Alcuin 1']","['1146', '1142']",NEEDS MANUAL VALIDATION,100,101
Ep. 058,"Alevinus, ut discipulus quidam sibi inimicus in pristinam amicitiam redeat, postulat.

782—796?
","Cod, S fol. 177'—178'.","Ed . F 166, J 48. — Migne col. 479.",CARISSIMO IN CHRISTI CARITATE FILIO SALUTEM.,S,True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,101,102
Ep. 059,"Alevinus ob Arnonis episcopi Salisburgensis adventum frustra eaxspectatum dolet, pro
muneribus acceptis gratias agit. 785—796.

","Codd. S 1 fol. 144—145' (S 1 fol. 63'—57'),","Ed , M 17, F 88, J 151. — Migne col. 318.",DULCISSIMAE DILECTIONIS PATRI AQUILAE ANTISTITI TRANSMARINUS CIGNUS IN SANCTAE CARITATIS PENNIS PERPETUAM SALUTEM.,"S1, S1*",True,"['Arno 1', 'Alcuin 1']","['9847', '1142']",NEEDS MANUAL VALIDATION,102,103
Ep. 060,"Alevinus cum tribus amicis Paulino patriarchae Aquileiensi de litteris missis gratias
agit. Petunt ut pro illo precetur. ¢, 787—796.

","Codd. T fol. 89—90, K 1 fol. 79—80, K 2 p. 226—228, A1 p. 142—144 n. 1024,","Ed , C66, Q 82, F'16, J 129. — Migne col. 172.","OPTIMO TIMOTHEO? FILIL BIS> BINI, EVANGELICAE VERITATIS DISCIPULI, ET SANCTARUM4 QUADRIGAE VIRTUTUM FIDELIUM QUADRIGA AMICORUM, PLENA CARITATIS NAVE TRANS ALPINAS AQUAS DIRIGIT SALUTEM.","T*, K1, K2, A1*",True,"['Paulinus 2', 'Alcuin 1']","['3528', '1142']",NEEDS MANUAL VALIDATION,103,104
Ep. 061,"Alevinus Ecgfrido regi, Offae regis Merciorum filio, virtutem suadet. 786—796.

","Codd. T fol, 66'—67 (T fol. 61!), Q fol. 123'—124, 81 fol. 177'—178 (S1 fol. 103'—104'), A1 p. 24 n. 21%.","Ed . Q 48, F'45, J 45. — Migne col. 214.",NOBILISSIMO IUVENL ACGFREDI’ HUMILIS LEVITA ALCHVINE SALUTEM.,"T, Q, S1, S1*, A1*",True,"['Alcuin 1', 'Ecgfrith 7', 'Offa 7', 'Cynethryth 2', 'Hundruda 1']","['1142', '4467', '305', '3911', '9905']",NEEDS MANUAL VALIDATION,104,105
